studies,age
informatics,26
informatics,34
informatics,31
informatics,29
informatics,24
informatics,24
informatics,22
informatics,33
informatics,29
informatics,31
informatics,22
informatics,34
informatics,32
informatics,24
informatics,24
informatics,24
informatics,25
informatics,28
informatics,27
informatics,25
informatics,29
informatics,23
informatics,25
informatics,26
informatics,27
informatics,32
informatics,24
informatics,28
informatics,29
informatics,22
informatics,29
informatics,24
informatics,22
informatics,34
informatics,34
informatics,32
informatics,25
informatics,23
informatics,30
informatics,27
informatics,23
informatics,28
informatics,22
informatics,33
informatics,25
informatics,30
informatics,26
informatics,28
informatics,29
informatics,24
informatics,34
informatics,32
informatics,34
informatics,33
informatics,29
informatics,33
informatics,23
informatics,24
informatics,22
informatics,26
informatics,27
informatics,25
informatics,32
informatics,26
informatics,25
informatics,29
informatics,23
informatics,32
informatics,22
informatics,34
informatics,32
informatics,24
informatics,22
informatics,32
informatics,31
informatics,31
informatics,32
informatics,22
informatics,26
informatics,23
informatics,33
informatics,30
informatics,26
informatics,22
informatics,26
informatics,26
informatics,31
informatics,30
informatics,33
informatics,28
informatics,23
informatics,31
informatics,31
informatics,29
informatics,32
informatics,28
informatics,28
informatics,27
informatics,22
informatics,23
informatics,22
informatics,30
informatics,26
informatics,28
informatics,33
informatics,25
informatics,27
informatics,31
informatics,24
informatics,23
informatics,25
informatics,24
informatics,34
informatics,32
informatics,30
informatics,33
informatics,32
informatics,24
informatics,33
informatics,29
informatics,32
informatics,33
informatics,26
informatics,23
informatics,24
informatics,27
informatics,32
informatics,33
informatics,22
informatics,28
informatics,27
informatics,24
informatics,23
informatics,26
informatics,34
informatics,26
informatics,28
informatics,31
informatics,26
informatics,34
informatics,34
informatics,25
informatics,28
informatics,25
informatics,25
informatics,22
informatics,29
informatics,28
informatics,22
informatics,25
informatics,33
informatics,25
informatics,23
informatics,28
informatics,34
informatics,25
informatics,30
informatics,31
informatics,25
informatics,31
informatics,26
informatics,30
informatics,30
informatics,28
informatics,23
informatics,32
informatics,26
informatics,24
informatics,22
informatics,29
informatics,30
informatics,22
informatics,28
informatics,24
informatics,30
informatics,24
informatics,30
informatics,27
informatics,34
informatics,23
informatics,26
informatics,23
informatics,34
informatics,33
informatics,25
informatics,30
informatics,32
informatics,29
informatics,28
informatics,25
informatics,23
informatics,33
informatics,33
informatics,30
informatics,26
informatics,26
informatics,31
informatics,33
informatics,33
informatics,32
informatics,30
informatics,23
informatics,24
informatics,33
informatics,29
informatics,22
informatics,23
informatics,30
informatics,22
informatics,24
informatics,29
informatics,30
informatics,30
informatics,24
informatics,31
informatics,25
informatics,26
informatics,31
informatics,30
informatics,33
informatics,30
informatics,29
informatics,23
informatics,26
informatics,25
informatics,25
informatics,34
informatics,27
informatics,33
informatics,30
informatics,32
informatics,28
informatics,29
informatics,28
informatics,24
informatics,31
informatics,25
informatics,22
informatics,30
informatics,24
informatics,34
informatics,34
informatics,33
informatics,26
informatics,22
informatics,34
informatics,27
informatics,34
informatics,34
informatics,33
informatics,25
informatics,27
informatics,33
informatics,26
informatics,24
informatics,29
informatics,34
informatics,31
informatics,29
informatics,23
informatics,29
informatics,34
informatics,23
informatics,28
informatics,33
informatics,31
informatics,31
informatics,31
informatics,26
informatics,25
informatics,32
informatics,32
informatics,33
informatics,33
informatics,28
informatics,28
informatics,32
informatics,30
informatics,31
informatics,32
informatics,33
informatics,26
informatics,26
informatics,23
informatics,29
informatics,22
informatics,28
informatics,29
informatics,25
informatics,29
informatics,22
informatics,22
informatics,32
informatics,26
informatics,23
informatics,28
informatics,32
informatics,24
informatics,30
informatics,23
informatics,22
informatics,28
informatics,29
informatics,30
informatics,31
informatics,34
informatics,28
informatics,26
informatics,32
informatics,25
informatics,27
informatics,23
informatics,22
informatics,34
informatics,32
informatics,31
informatics,27
informatics,24
informatics,24
informatics,25
informatics,29
informatics,31
informatics,30
informatics,25
informatics,34
informatics,31
informatics,29
informatics,29
informatics,27
informatics,25
informatics,26
informatics,31
informatics,22
informatics,23
informatics,22
informatics,22
informatics,33
informatics,31
informatics,28
informatics,23
informatics,28
